Author,Poem,Anthology,Date
"Adams, Arthur Henry",The Australian,Mackaness 1946,1946
"Adams, Arthur Henry",The Dwellings of Our Dead,Mackaness 1946,1946
"Adamson, Bartlett",Wonder Everlasting,Mackaness 1946,1946
"Allan, James Alexander",Breaking,Mackaness 1946,1946
"Allan, James Alexander",Pavlova: A Dirge,Mackaness 1946,1946
"Allen, Leslie Holdsworth",Gallipoli,Mackaness 1946,1946
"Allen, Leslie Holdsworth",The Reaper,Mackaness 1946,1946
"Anderson, Ethel",Star Comfort,Mackaness 1946,1946
"Atkinson, Evelyn John Rupert",Nightmare,Mackaness 1946,1946
"Auchterlounie, Dorothy",When Desire Has Ceased,Mackaness 1946,1946
"Austin, A.G.",Chez-Nous,Mackaness 1946,1946
"Ballantyne, Gina",Transient,Mackaness 1946,1946
"Batt, Leon",Aerial Bomb,Mackaness 1946,1946
"Bayldon, Arthur Albert Dawson",Apollo in Australia,Mackaness 1946,1946
"Bayldon, Arthur Albert Dawson",Marlowe,Mackaness 1946,1946
"Beckett, Edith",Ring-barked,Mackaness 1946,1946
"Bedford, Ruth Marjory",Waiting,Mackaness 1946,1946
"Biggs, Maurice",Battle Dress,Mackaness 1946,1946
"Bingham, Colin",Tis Such a Mood,Mackaness 1946,1946
"Birtles, Bert",The Satyr-Boy's Chase,Mackaness 1946,1946
"Boake, Barcroft",Where the Dead Men Lie,Mackaness 1946,1946
"Brady, Edwin James",Lost and Given Over,Mackaness 1946,1946
"Brady, Edwin James",The Dead Ships,Mackaness 1946,1946
"Brand, Mona",The Miser,Mackaness 1946,1946
"Brennan, Christopher",How Old is My Heart,Mackaness 1946,1946
"Brennan, Christopher",I am Shut out of My Own Heart,Mackaness 1946,1946
"Brennan, Christopher",I Cry to You,Mackaness 1946,1946
"Brennan, Christopher","I Said, This Misery Must End",Mackaness 1946,1946
"Brennan, Christopher",Let Us Go Down,Mackaness 1946,1946
"Brennan, Christopher",My Heart was Wandering in the Sands,Mackaness 1946,1946
"Brennan, Christopher",O Desolate Eves,Mackaness 1946,1946
"Brennan, Christopher",O White Wind Numbing the World,Mackaness 1946,1946
"Brennan, Christopher",The Shadow on the Hill,Mackaness 1946,1946
"Brereton, John Le Gay",The Nepean,Mackaness 1946,1946
"Brereton, John Le Gay",The Ways of Sleep,Mackaness 1946,1946
"Brereton, John Le Gay",Unborn,Mackaness 1946,1946
"Briggs, Ernest",Man's Life is Thought,Mackaness 1946,1946
"Briggs, Ernest",Who Shall Not Come Again,Mackaness 1946,1946
"Broinowski, Robert Arthur",Winter Memories,Mackaness 1946,1946
"Bulcock, Emily Hemans",Jacaranda Blooms,Mackaness 1946,1946
"Burnell, Frederik Spencer",A Mangrove Swamp,Mackaness 1946,1946
"Burnell, Frederik Spencer",The Unfinished Temple,Mackaness 1946,1946
"Byrne, Gerald",The Road to Marysville,Mackaness 1946,1946
"Cameron, Margaret",Storm at Harvest,Mackaness 1946,1946
"Campbell, Charles",Nightmare,Mackaness 1946,1946
"Christesen, Clement B.",By Lantern Light,Mackaness 1946,1946
"Christesen, Clement B.",There was a Moon Last Night…,Mackaness 1946,1946
"Clough, Maurice",Gum Trees in the Desert,Mackaness 1946,1946
"Cole, Elsie",Eyes of Moonlight,Mackaness 1946,1946
