Author,Text,AcademicYearsStart,AcademicYearsEnd,Notes
Anon.,HYMN TO DEMETER,1986,2010,
Anon.,GILGAMESH,2008,2008,
Homer,ILIAD,1937,2020,
Homer,ODYSSEY,1956,1957,Spring semester only
Homer,ODYSSEY,1963,1994,
Homer,ODYSSEY,1997,2020,
Sappho,POEMS,1986,1992,
Sappho,POEMS,2015,2018,
Aeschylus,ORESTEIA,1937,2018,
Aeschylus,PROMETHEUS BOUND,1940,1955,
Aeschylus,PROMETHEUS BOUND,1961,1975,1961?
Herodotus,THE HISTORIES,1938,1964,
Herodotus,THE HISTORIES,1966,1970,
Herodotus,THE HISTORIES,1975,1978,
Herodotus,THE HISTORIES,1980,1986,
Herodotus,THE HISTORIES,1995,2019,
Sophocles,OEDIPUS THE KING,1937,2015,
Sophocles,ANTIGONE,1937,1958,
Sophocles,ANTIGONE,1959,1992,
Sophocles,ANTIGONE,2018,2020,
Sophocles,OEDIPUS AT COLONUS,1942,1942,
Sophocles,OEDIPUS AT COLONUS,1954,1958,
Sophocles,OEDIPUS AT COLONUS,1966,1967,
Sophocles,OEDIPUS AT COLONUS,1969,1992,
Sophocles,ELECTRA,1942,1953,
Sophocles,ELECTRA,1958,1959,
Sophocles,PHILOCTETES,1953,1954,
Sophocles,PHILOCTETES,1958,1959,
Sophocles,PHILOCTETES,1960,1965,
Sophocles,PHILOCTETES,1967,1974,
Sophocles,AJAX,1959,1963,
Sophocles,AJAX,1964,1965,
Euripides,ELECTRA,1937,1954,
Euripides,ELECTRA,1958,1979,
Euripides,ELECTRA,1990,1992,
Euripides,IPHIGENIA IN TAURIS,1937,1940,
Euripides,IPHIGENIA IN TAURIS,1954,1955,
Euripides,IPHIGENIA IN TAURIS,1960,1961,
Euripides,IPHIGENIA IN TAURIS,1963,1964,
Euripides,IPHIGENIA IN TAURIS,1966,1967,
Euripides,MEDEA,1937,1941,
Euripides,MEDEA,1942,1944,
Euripides,MEDEA,1948,1954,
Euripides,MEDEA,1955,1958,
Euripides,MEDEA,1959,1960,
Euripides,MEDEA,1961,1963,
Euripides,MEDEA,1982,1990,
Euripides,MEDEA,2003,2015,
Euripides,THE TROJAN WOMEN,1942,1949,
Euripides,THE TROJAN WOMEN,1960,1961,
Euripides,THE TROJAN WOMEN,1969,1974,
Euripides,HIPPOLYTUS,1941,1948,
Euripides,HIPPOLYTUS,1951,1958,
Euripides,HIPPOLYTUS,1959,1975,
Euripides,THE BACCHAE,1944,1948,
Euripides,THE BACCHAE,1958,1959,
Euripides,THE BACCHAE,1961,1962,
Euripides,THE BACCHAE,1963,1964,
Euripides,THE BACCHAE,1966,1967,
Euripides,THE BACCHAE,1969,1970,
Euripides,THE BACCHAE,1977,1978,
Euripides,THE BACCHAE,1980,2002,
Euripides,THE BACCHAE,2015,2018,
Euripides,ALCESTIS,1954,1955,
Euripides,ALCESTIS,1966,1967,
Euripides,ALCESTIS,1969,1971,
Euripides,HERACLES,1962,1974,
Euripides,ORESTES,1969,1974,
Thucydides,THE PELOPONNESIAN WARS,1938,2018,
Aristophanes,FROGS,1937,1948,
Aristophanes,FROGS,1951,1952,
Aristophanes,FROGS,1954,1956,
Aristophanes,FROGS,1957,1958,
Aristophanes,FROGS,1959,1960,
Aristophanes,FROGS,1961,1962,
Aristophanes,FROGS,1966,1980,
Aristophanes,FROGS,1983,1990,
Aristophanes,FROGS,2000,2002,
Aristophanes,CLOUDS,1940,1941,
Aristophanes,CLOUDS,1942,1951,
Aristophanes,CLOUDS,1953,1955,
Aristophanes,CLOUDS,1956,1957,
Aristophanes,CLOUDS,1958,1959,
Aristophanes,CLOUDS,1960,1962,
Aristophanes,CLOUDS,1963,1976,
Aristophanes,CLOUDS,1978,1979,
Aristophanes,CLOUDS,1990,1992,
Aristophanes,CLOUDS,2006,2007,
Aristophanes,BIRDS,1941,1944,
Aristophanes,BIRDS,1950,1951,
Aristophanes,BIRDS,1957,1958,
Aristophanes,THESMOPHORIAZUSAE,1944,1947,
Aristophanes,THESMOPHORIAZUSAE,1948,1950,
Aristophanes,PEACE,1947,1948,
Aristophanes,LYSISTRATA,1951,1952,
Aristophanes,LYSISTRATA,1953,1954,
Aristophanes,LYSISTRATA,1955,1957,
Aristophanes,LYSISTRATA,1958,1960,
Aristophanes,LYSISTRATA,1961,1962,
Aristophanes,LYSISTRATA,1963,1964,
Aristophanes,LYSISTRATA,1966,1979,
Aristophanes,LYSISTRATA,1982,1983,
Aristophanes,LYSISTRATA,1998,2000,
Aristophanes,LYSISTRATA,2003,2005,
Aristophanes,LYSISTRATA,2008,2015,
Plato,APOLOGY,1937,1960,
Plato,APOLOGY,1961,1964,
Plato,APOLOGY,1967,1968,
Plato,APOLOGY,1970,1974,
Plato,APOLOGY,1978,1992,
Plato,APOLOGY,2006,2007,
