creator	translator	title	genre	pages	volume	issue	date	journal title	journal subtitle	issue name	journal editor	publisher	journal location	issue length (pp)	issue height (cm)	issue width (cm)
"Ficke, Arthur Davison"		Poetry	poetry	2-Jan	1	1	1912-10-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	40	20	14.7
"Moody, William Vaughan"		I Am the Woman	poetry	6-Mar	1	1	1912-10-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	40	20	14.7
"Pound, Ezra"		"To Whistler, American"	poetry	7-Jul	1	1	1912-10-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	40	20	14.7
"Pound, Ezra"		Middle-Aged: A Study in an Emotion	poetry	8-Aug	1	1	1912-10-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	40	20	14.7
"Lorimer, Emilia Stuart"		Fish of the Flood	poetry	9-Sep	1	1	1912-10-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	40	20	14.7
"Dudley, Helen"		To One Unknown	poetry	10-Oct	1	1	1912-10-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	40	20	14.7
"Conkling, Grace Hazard"		Symphony of a Mexican Garden	poetry	18-Nov	1	1	1912-10-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	40	20	14.7
"Monroe, Harriet"		As It Was	articles	19-22	1	1	1912-10-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	40	20	14.7
"Wyatt, Edith"		On the Reading of Poetry	articles	22-25	1	1	1912-10-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	40	20	14.7
"Monroe, Harriet"		The Motive of the Magazine	articles	26-28	1	1	1912-10-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	40	20	14.7
		Notes and Announcements	articles	29-32	1	1	1912-10-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	40	20	14.7
		Advertisements	advertisements	E-F	1	1	1912-10-01T00:00:00Z	Poetry	A Magazine of Verse		"Monroe, Harriet"	Harriet Monroe	Chicago	40	20	14.7
