Publication_Year,Title,Num_Volumes,Publisher,Place,Editor,Edition,Call_Number,Language
2012,The Norton anthology of English literature,6 v.,New York: W.W. Norton,,"Greenblatt, Stephen; Abrams, M. H.",9th ed.,PR1109 .N6 2012,English
1993,The Norton anthology of English literature,2 v.,New York: W.W. Norton,,"Abrams, M. H.",6th ed.,PR1109 .N6 1993,English
2018,The Norton anthology of English literature,"6 volumes, unnumbered pages of plates",New York: W.W. Norton,,"Simpson, James; Greenblatt, Stephen",10th edition.,PR1120 .N66 2018,English
1999,The Norton anthology of English literature,2 v.,New York: Norton,,"Abrams, M. H.; Greenblatt, Stephen",7th ed.,PR1109.A2 1999,English
2006,The Norton anthology of English literature,6 v.,New York: W.W. Norton,,"Greenblatt, Stephen; Abrams, M. H.",8th ed.,PR1109 .N6 2006,English
1979,The Norton anthology of English literature,2 v.,New York: Norton,,"Abrams, M. H.",4th ed.,PR1109 .A2 1979,English
1974,The Norton anthology of English literature.,2 v.,New York: Norton,,"Abrams, M. H.",3d ed.,,English
1968,The Norton anthology of English literature,2 v.,New York: W. W. Norton,,"Abrams, M. H.",Rev.,PR1109 .A2 1968,English
1962,The Norton anthology of English literature,2 v.,"New York, W. W. Norton",,"Abrams, M. H. (Meyer Howard)",,,eng
1986,The Norton anthology of English literature,2 v.,New York : London : Norton,,"Abrams, M. H. (Meyer Howard)",5th,,eng
