author,title,date,ratings,reviews,average _rating,most_shelved,most_read
Harper Lee,To Kill a Mockingbird,1960,5.1M,100k,4.27,2,
F. Scott Fitzgerald,The Great Gatsby,1926,4.3M,80k,3.93,3,8
George Orwell,"1,984",1949,3.7M,85k,4.19,5,4
Jane Austen,Pride and Prejudice,1813,3.5M,83k,4.28,1,6
J.R.R. Tolkien,The Hobbit or There and Back Again,1937,3.3M,56k,4.28,29,15
George Orwell,Animal Farm,1945,3.2M,69k,3.97,8,2
Anne Frank,The Diary of a Young Girl,1947,3.2M,33k,4.17,37,31
J.D. Salinger,The Catcher in the Rye,1951,3.0M,66k,3.81,7,17
J.R.R. Tolkien,The Fellowship of the Ring,1954,2.5M,28k,4.37,59,35
William Golding,Lord of the Flies,1954,2.5M,44k,3.69,10,
Paulo Coelho,The Alchemist,1988,2.5M,94k,3.89,,3
C.S. Lewis,"The Lion, the Witch and the Wardrobe",1950,2.4M,26k,4.22,63,23
William Shakespeare,Romeo and Juliet,1595,2.3M,23k,3.75,9,40
John Steinbeck,Of Mice and Men,1937,2.2M,40k,3.88,13,14
Lois Lowry,The Giver,1993,2.1M,70k,4.13,87,
Ray Bradbury,Fahrenheit 451,1953,2.0M,57k,3.98,18,5
Louisa May Alcott,Little Women,1869,1.9M,38k,4.12,12,20
Charlotte Brontë,Jane Eyre,1847,1.8M,50k,4.14,4,24
Margaret Atwood,The Handmaid's Tale,1985,1.7M,80k,4.12,61,1
Antoine de Saint-Exupéry,The Little Prince,1943,1.7M,49k,4.31,40,7
Aldous Huxley,Brave New World,1932,1.6M,36k,3.99,26,16
E.B. White,Charlotte's Web,1952,1.6M,20k,4.18,86,78
Emily Brontë,Wuthering Heights,1847,1.5M,45k,3.87,6,38
Mary Wollstonecraft Shelley,Frankenstein,1818,1.3M,42k,3.83,11,13
Stephen King,The Shining,1977,1.3M,30k,4.25,,42
Kurt Vonnegut,Slaughterhouse-Five,1969,1.2M,31k,4.08,43,29
Mark Twain,The Adventures of Huckleberry Finn,1884,1.2M,17k,3.82,17,
Oscar Wilde,The Picture of Dorian Gray,1890,1.2M,41k,4.1,14,
Margaret Mitchell,Gone with the Wind,1936,1.1M,22k,4.3,41,
S.E. Hinton,The Outsiders,1967,1.1M,38k,4.11,77,36
Bram Stoker,Dracula,1897,1.1M,32k,4,22,46
Jane Austen,Sense and Sensibility,1811,1.1M,20k,4.08,15,
Agatha Christie,And Then There Were None,1939,1.0M,44k,4.27,,10
Frank Herbert,Dune,1965,1.0M,42k,4.25,,44
Frances Hodgson Burnett,The Secret Garden,1910,1.0M,22k,4.14,32,41
Ernest Hemingway,The Old Man and the Sea,1952,950k,30k,3.79,36,9
Homer,The Odyssey,-700,940k,15k,3.79,25,
Mitch Albom,Tuesdays with Morrie,1997,870k,30k,4.13,,28
Charles Dickens,A Tale of Two Cities,1859,870k,20k,3.86,19,83
Gabriel García Márquez,One Hundred Years of Solitude,1967,840k,36k,4.1,79,
Mark Twain,The Adventures of Tom Sawyer,1875,830k,11k,3.92,35,
L.M. Montgomery,Anne of Green Gables,1908,830k,29k,4.28,44,34
Albert Camus,The Stranger,1942,830k,30k,4,64,19
William Shakespeare,Hamlet,1603,810k,15k,4.03,28,39
John Steinbeck,The Grapes of Wrath,1939,810k,19k,3.99,39,92
Alexandre Dumas,The Count of Monte Cristo,1844,810k,25k,4.27,24,
J.R.R. Tolkien,The Two Towers,1954,810k,13k,4.46,93,
Roald Dahl,Matilda,1988,770k,19k,4.32,,33
Franz Kafka,The Metamorphosis,1915,770k,23k,3.84,56,11
Nathaniel Hawthorne,The Scarlet Letter,1850,770k,16k,3.42,21,96
Joseph Heller,Catch-22,1961,770k,20k,3.98,52,
William Shakespeare,Macbeth,1606,760k,14k,3.91,31,69
J.R.R. Tolkien,The Return of the King,1955,760k,13k,4.54,99,80
Jane Austen,Emma,1815,740k,23k,4.03,16,94
Leo Tolstoy,Anna Karenina,1877,740k,28k,4.07,27,63
Victor Hugo,Les Misérables,1862,730k,19k,4.19,34,
Vladimir Nabokov,Lolita,1955,730k,29k,3.88,48,
Fyodor Dostoevsky,Crime and Punishment,1866,730k,24k,4.24,33,85
Charles Dickens,Great Expectations,1861,710k,18k,3.79,20,
Charles Dickens,A Christmas Carol,1843,700k,24k,4.07,30,
Sylvia Plath,The Bell Jar,1963,690k,31k,4.03,57,
Ken Kesey,One Flew Over the Cuckoo's Nest,1962,670k,13k,4.2,70,
Hermann Hesse,Siddhartha,1922,660k,21k,4.05,98,30
Anthony Burgess,A Clockwork Orange,1962,650k,16k,4,80,
Mitch Albom,The Five People You Meet in Heaven,2003,630k,23k,3.96,,86
Truman Capote,In Cold Blood,1965,580k,19k,4.07,,75
Jane Austen,Persuasion,1818,580k,22k,4.14,23,61
Alice Walker,The Color Purple,1982,580k,18k,4.24,100,55
Daniel Keyes,Flowers for Algernon,1966,550k,23k,4.17,,26
Daphne du Maurier,Rebecca,1938,530k,31k,4.24,54,54
Herman Melville,"Moby-Dick, or, the Whale",1851,510k,18k,3.52,45,
Lewis Carroll,Alice's Adventures in Wonderland & Through the Looking-Glass,1871,500k,12k,4.06,49,
William Shakespeare,A Midsummer Night's Dream,1595,480k,9.4k,3.95,46,77
Agatha Christie,Murder on the Orient Express,1934,470k,29k,4.19,,12
John Steinbeck,East of Eden,1952,470k,22k,4.39,62,90
C.S. Lewis,The Magician's Nephew,1955,460k,16k,4.04,,32
H.G. Wells,The Time Machine,1895,460k,13k,3.9,71,48
Robert Louis Stevenson,The Strange Case of Dr. Jekyll and Mr. Hyde,1886,460k,16k,3.83,47,25
Joseph Conrad,Heart of Darkness,1899,450k,16k,3.43,55,45
Robert Louis Stevenson,Treasure Island,1882,440k,13k,3.84,51,18
Betty Smith,A Tree Grows in Brooklyn,1943,420k,23k,4.28,92,
L. Frank Baum,The Wonderful Wizard of Oz,1900,410k,14k,3.99,73,50
Ernest Hemingway,The Sun Also Rises,1926,390k,15k,3.81,81,
Homer,The Iliad,-750,390k,8.8k,3.88,50,
Philip K. Dick,Do Androids Dream of Electric Sheep?,1968,390k,15k,4.09,,53
C.S. Lewis,Prince Caspian,1951,390k,8.8k,3.98,,68
Jack London,The Call of the Wild,1903,380k,13k,3.89,84,43
Arthur Conan Doyle,A Study in Scarlet,1887,380k,13k,4.15,,47
Arthur Miller,The Crucible,1953,360k,8.8k,3.6,76,
Charles Dickens,Oliver Twist,1838,350k,8.7k,3.87,53,
William Shakespeare,Othello,1603,340k,7.5k,3.9,68,97
Gary Paulsen,Hatchet,1986,340k,16k,3.75,,72
Laura Esquivel,Like Water for Chocolate,1989,340k,11k,3.95,,100
Jane Austen,Northanger Abbey,1818,340k,16k,3.84,38,65
Oscar Wilde,The Importance of Being Earnest,1895,330k,11k,4.18,66,57
Chinua Achebe,Things Fall Apart,1959,320k,16k,3.71,,56
Agatha Christie,The Mysterious Affair at Styles,1920,320k,11k,3.99,,27
Lewis Carroll,Alice's Adventures in Wonderland,1865,310k,13k,3.99,,22
Jane Austen,Mansfield Park,1814,310k,12k,3.86,42,
J.M. Barrie,Peter Pan,1904,310k,13k,4.04,74,89
C.S. Lewis,The Horse and His Boy,1954,310k,9.2k,3.91,,60
Zora Neale Hurston,Their Eyes Were Watching God,1937,300k,16k,3.96,,66
Alexandre Dumas,The Three Musketeers,1844,290k,7.7k,4.08,,60
Leo Tolstoy,War and Peace,1867,290k,14k,4.14,58,
Niccolò Machiavelli,The Prince,1513,290k,9.9k,3.83,,93
Frances Hodgson Burnett,A Little Princess,1890,290k,8.2k,4.21,88,
Ernest Hemingway,A Farewell to Arms,1929,290k,11k,3.81,95,
Gustave Flaubert,Madame Bovary,1856,280k,12k,3.69,67,
Tim O'Brien,The Things They Carried,1990,280k,16k,4.13,,73
H.G. Wells,The War of the Worlds,1898,270k,9.4k,3.83,,87
Fyodor Dostoevsky,The Brothers Karamazov,1879,270k,13k,4.34,85,
Daniel Defoe,Robinson Crusoe,1719,270k,7.7k,3.68,78,
Unknown,Beowulf,975,270k,7.6k,3.46,82,49
Kahlil Gibran,The Prophet,1923,260k,11k,4.23,,64
Thomas Hardy,Tess of the D'Urbervilles,1891,260k,9.8k,3.82,65,
Virginia Woolf,Mrs. Dalloway,1925,250k,12k,3.79,91,88
Jonathan Swift,Gulliver's Travels,1726,250k,6.3k,3.58,72,
Voltaire,Candide,1759,240k,9.0k,3.77,89,82
Miguel de Cervantes Saavedra,Don Quixote,1605,230k,9.5k,3.88,69,
Truman Capote,Breakfast at Tiffany's,1958,230k,12k,3.87,,58
William Shakespeare,Much Ado About Nothing,1598,230k,4.3k,4.06,94,
Richard Bach,Jonathan Livingston Seagull,1970,220k,9.1k,3.85,,84
Gaston Leroux,The Phantom of the Opera,1910,210k,8.0k,3.96,90,
Charles Dickens,David Copperfield,1849,210k,7.6k,4.01,75,
Harriet Beecher Stowe,Uncle Tom's Cabin,1852,210k,8.6k,3.89,96,
Jules Verne,Around the World in Eighty Days,1873,210k,8.3k,3.94,,98
John Steinbeck,The Pearl,1945,210k,9.8k,3.5,,70
Geoffrey Chaucer,The Canterbury Tales,1390,200k,3.7k,3.51,83,
Toni Morrison,The Bluest Eye,1970,200k,12k,4.09,,21
Philip K. Dick,The Man in the High Castle,1962,190k,13k,3.61,,62
Victor Hugo,The Hunchback of Notre-Dame,1831,180k,5.8k,4,97,
Jules Verne,Journey to the Center of the Earth,1864,170k,6.5k,3.86,,81
Agatha Christie,Death on the Nile,1937,170k,9.8k,4.12,,52
Virginia Woolf,A Room of One's Own,1929,150k,11k,4.19,,76
Ursula K. Le Guin,The Left Hand of Darkness,1969,140k,11k,4.09,,71
Henry James,The Turn of the Screw,1898,130k,10k,3.41,,74
Charlotte Perkins Gilman,The Yellow Wall-Paper,1892,120k,7.3k,4.11,,79
Leo Tolstoy,The Death of Ivan Ilych,1886,120k,7.3k,4.11,,67
Richard Matheson,I Am Legend,1954,110k,7.1k,4.06,,91
Frederick Douglass,Narrative of the Life of Frederick Douglass,1845,110k,5.4k,4.06,,59
Stefan Zweig,Chess Story,1942,90k,6.5k,4.28,,37
James Allen,As a Man Thinketh,1902,69k,4.2k,4.26,,95
Agatha Christie,The Murder on the Links,1923,65k,4.5k,3.86,,51
Kathrine Kressmann Taylor,Address Unknown,1938,11k,1.6k,4.22,,99
